股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0914,医废处理,0.44,1398.79,1402.11,1380.56,1385.18,6.12,0.98,1.0,66.86,2948630,2435029290.0,1392.67,232777369000,207258974000,90.BK0914,板块,2026-02-06 11:17:45,2026-02-06
BK1053,低价股,0.44,1244.23,1247.42,1231.27,1234.84,5.45,0.97,1.07,-10.45,57209421,13085448231.0,1238.78,1559358432000,1343611648000,90.BK1053,板块,2026-02-06 11:17:45,2026-02-06
BK0967,水产养殖,0.44,1045.64,1048.77,1032.2,1036.25,4.53,1.79,0.7,-72.32,3259121,2727810984.0,1041.11,248905539000,243194805000,90.BK0967,板块,2026-02-06 11:17:45,2026-02-06
BK1077,统一大市场,0.44,1461.98,1463.42,1444.22,1447.14,6.38,1.05,1.06,31.87,7550924,5153246601.0,1455.6,437651248000,388168208000,90.BK1077,板块,2026-02-06 11:17:45,2026-02-06
BK0696,国产软件,0.44,4027.66,4032.0,3950.54,3980.78,17.74,1.83,1.09,244.18,27238779,54832373257.0,4009.92,3575837072000,3185429344000,90.BK0696,板块,2026-02-06 11:17:45,2026-02-06
BK0643,上海自贸,0.44,3922.22,3926.59,3860.37,3881.18,17.12,0.41,1.04,36.61,2760464,6160307825.0,3905.1,1017570912000,822863520000,90.BK0643,板块,2026-02-06 11:17:45,2026-02-06
BK0623,海洋经济,0.44,3779.25,3793.13,3708.5,3726.02,16.73,1.82,1.24,23.86,27492693,42891914333.0,3762.52,2158851440000,1868028992000,90.BK0623,板块,2026-02-06 11:17:45,2026-02-06
BK0525,参股银行,0.44,13206.78,13228.39,13029.65,13070.07,58.32,0.58,1.05,12.51,51762857,59548627092.0,13148.46,12647081984000,10441368576000,90.BK0525,板块,2026-02-06 11:17:45,2026-02-06
BK1061,数字经济,0.43,1493.75,1495.12,1464.52,1475.76,6.43,1.62,1.17,-113.36,23856854,35745207005.0,1487.32,2090630096000,1919962240000,90.BK1061,板块,2026-02-06 11:17:45,2026-02-06
BK0902,MiniLED,0.43,2387.68,2390.8,2336.65,2354.87,10.19,1.43,1.15,60.04,15587469,22761254847.0,2377.49,1309044144000,1170344064000,90.BK0902,板块,2026-02-06 11:17:45,2026-02-06
BK1101,Chiplet概念,0.43,2452.92,2458.02,2391.53,2405.87,10.42,2.31,0.86,160.06,3588302,19234669499.0,2442.5,1117152464000,1081772368000,90.BK1101,板块,2026-02-06 11:17:45,2026-02-06
BK0937,蚂蚁概念,0.42,887.83,888.39,871.54,877.67,3.73,0.88,1.73,11.14,27065580,28395289935.0,884.1,6346509824000,5247234816000,90.BK0937,板块,2026-02-06 11:17:45,2026-02-06
BK0806,精准医疗,0.41,1197.68,1201.94,1188.94,1189.63,4.94,2.01,1.55,69.37,6725428,8335128625.0,1192.74,620017136000,524316576000,90.BK0806,板块,2026-02-06 11:17:45,2026-02-06
BK1074,托育服务,0.41,996.33,998.01,973.44,984.74,4.09,3.08,1.23,49.65,1204131,1024045204.0,992.24,40224742000,38409124000,90.BK1074,板块,2026-02-06 11:17:45,2026-02-06
BK1183,谷子经济,0.41,1287.62,1289.06,1257.97,1274.87,5.26,2.61,1.29,1199.87,16717318,19960464756.0,1282.36,720600992000,651341360000,90.BK1183,板块,2026-02-06 11:17:45,2026-02-06
BK1170,AI制药（医疗）,0.41,1497.48,1498.93,1477.25,1486.06,6.05,2.27,1.32,97.94,8894702,12076619894.0,1491.43,733138496000,655956608000,90.BK1170,板块,2026-02-06 11:17:42,2026-02-06
BK0890,MLCC,0.4,3317.6,3322.44,3254.44,3263.55,13.3,2.83,1.33,68.31,2418187,11921614865.0,3304.3,387193424000,350631808000,90.BK0890,板块,2026-02-06 11:17:45,2026-02-06
BK1007,植物照明,0.4,1236.35,1238.08,1215.67,1224.5,4.87,2.22,1.44,107.35,3097099,4180485588.0,1231.48,192009982000,171459980000,90.BK1007,板块,2026-02-06 11:17:45,2026-02-06
BK1637,东方财富热股,0.4,1020.58,1022.06,998.49,1004.66,4.08,5.15,1.31,42.83,136974978,207339001197.0,1016.5,7705875968000,7265856512000,90.BK1637,板块,2026-02-06 11:17:42,2026-02-06
BK0683,央国企改革,0.39,5400.53,5413.29,5323.45,5343.51,20.92,0.74,1.07,17.08,290060457,372333366976.0,5379.61,53931279616000,41434132480000,90.BK0683,板块,2026-02-06 11:17:45,2026-02-06
BK1073,啤酒概念,0.39,1366.41,1368.92,1356.19,1357.28,5.26,1.97,1.68,23.79,3640870,3962227452.0,1361.15,286010352000,237177014000,90.BK1073,板块,2026-02-06 11:17:42,2026-02-06
